Prep Date,Read Date,Read Time,TimePoint,Treatment,Temperature,Family,Cross,CrossPop,Mom,Plate Number,Well Replicate,Settled,SettledPercentage,Metamorphosed but not settled,Not settled,Total count
09/12/2019,11/12/2019,08:00,T40,Ambient,27.5C,F16,E3 x D11,ExD,EskMom,10,2,0,0,0,10,10
09/12/2019,11/12/2019,08:00,T40,Ambient,27.5C,F16,E3 x D11,ExD,EskMom,10,3,6,60,2,2,10
09/12/2019,11/12/2019,09:00,T40,Hot,35.5C,F16,E3 x D11,ExD,EskMom,21,1,0,0,0,0,0
09/12/2019,11/12/2019,09:00,T40,Hot,35.5C,F16,E3 x D11,ExD,EskMom,21,2,0,0,0,0,0
09/12/2019,11/12/2019,09:00,T40,Hot,35.5C,F16,E3 x D11,ExD,EskMom,21,3,0,0,0,0,0
11/12/2019,13/12/2019,08:30,T40,Ambient,27.5C,F17,D16 x E5,DxE,DaviesMom,30,1,3,30,0,7,10
11/12/2019,13/12/2019,08:30,T40,Ambient,27.5C,F17,D16 x E5,DxE,DaviesMom,30,2,6,66.66666667,0,3,9
11/12/2019,13/12/2019,08:30,T40,Ambient,27.5C,F17,D16 x E5,DxE,DaviesMom,30,3,3,37.5,2,3,8
11/12/2019,13/12/2019,08:30,T40,Hot,35.5C,F17,D16 x E5,DxE,DaviesMom,42,1,0,0,0,0,0
11/12/2019,13/12/2019,08:30,T40,Hot,35.5C,F17,D16 x E5,DxE,DaviesMom,42,2,0,0,0,0,0
11/12/2019,13/12/2019,08:30,T40,Hot,35.5C,F17,D16 x E5,DxE,DaviesMom,42,3,0,0,0,0,0
09/12/2019,11/12/2019,08:00,T40,Ambient,27.5C,F19,D10 x E5,DxE,DaviesMom,7,1,5,55.55555556,1,3,9
09/12/2019,11/12/2019,08:00,T40,Ambient,27.5C,F19,D10 x E5,DxE,DaviesMom,7,2,6,85.71428571,1,0,7
09/12/2019,11/12/2019,08:00,T40,Ambient,27.5C,F19,D10 x E5,DxE,DaviesMom,7,3,2,22.22222222,7,0,9
09/12/2019,11/12/2019,09:00,T40,Hot,35.5C,F19,D10 x E5,DxE,DaviesMom,14,1,0,0,0,0,0
09/12/2019,11/12/2019,09:00,T40,Hot,35.5C,F19,D10 x E5,DxE,DaviesMom,14,2,0,0,0,0,0
09/12/2019,11/12/2019,09:00,T40,Hot,35.5C,F19,D10 x E5,DxE,DaviesMom,14,3,0,0,0,0,0
17/12/2019,19/12/2019,08:40,T40,Hot,35.5C,F2,D20 x D16,DxD,DaviesMom,60,1,0,0,0,0,0
17/12/2019,19/12/2019,08:40,T40,Hot,35.5C,F2,D20 x D16,DxD,DaviesMom,60,2,0,0,0,0,0
17/12/2019,19/12/2019,08:40,T40,Hot,35.5C,F2,D20 x D16,DxD,DaviesMom,60,3,0,0,0,0,0
17/12/2019,19/12/2019,08:40,T40,Hot,35.5C,F20,D11 x E5,DxE,DaviesMom,58,1,0,0,0,0,0
17/12/2019,19/12/2019,08:40,T40,Hot,35.5C,F20,D11 x E5,DxE,DaviesMom,58,2,0,0,0,0,0
17/12/2019,19/12/2019,08:40,T40,Hot,35.5C,F20,D11 x E5,DxE,DaviesMom,58,3,0,0,0,0,0
11/12/2019,13/12/2019,08:30,T40,Ambient,27.5C,F21,E4 x E5,ExE,EskMom,33,1,6,66.66666667,0,3,9
11/12/2019,13/12/2019,08:30,T40,Ambient,27.5C,F21,E4 x E5,ExE,EskMom,33,2,3,50,2,1,6
11/12/2019,13/12/2019,08:30,T40,Ambient,27.5C,F21,E4 x E5,ExE,EskMom,33,3,6,66.66666667,0,3,9
11/12/2019,13/12/2019,08:30,T40,Hot,35.5C,F21,E4 x E5,ExE,EskMom,38,1,0,0,0,0,0
11/12/2019,13/12/2019,08:30,T40,Hot,35.5C,F21,E4 x E5,ExE,EskMom,38,2,0,0,0,0,0
11/12/2019,13/12/2019,08:30,T40,Hot,35.5C,F21,E4 x E5,ExE,EskMom,38,3,0,0,0,0,0
09/12/2019,11/12/2019,08:00,T40,Ambient,27.5C,F22,E3 x E5,ExE,EskMom,5,1,7,77.77777778,0,2,9
09/12/2019,11/12/2019,08:00,T40,Ambient,27.5C,F22,E3 x E5,ExE,EskMom,5,2,0,0,0,10,10
09/12/2019,11/12/2019,08:00,T40,Ambient,27.5C,F22,E3 x E5,ExE,EskMom,5,3,1,10,0,9,10
09/12/2019,11/12/2019,09:00,T40,Hot,35.5C,F22,E3 x E5,ExE,EskMom,22,1,0,0,0,0,0
09/12/2019,11/12/2019,09:00,T40,Hot,35.5C,F22,E3 x E5,ExE,EskMom,22,2,0,0,0,0,0
09/12/2019,11/12/2019,09:00,T40,Hot,35.5C,F22,E3 x E5,ExE,EskMom,22,3,0,0,0,0,0
11/12/2019,13/12/2019,08:30,T40,Ambient,27.5C,F23,D16 x E4,DxE,DaviesMom,35,1,7,77.77777778,0,2,9
11/12/2019,13/12/2019,08:30,T40,Ambient,27.5C,F23,D16 x E4,DxE,DaviesMom,35,2,7,70,0,3,10
11/12/2019,13/12/2019,08:30,T40,Ambient,27.5C,F23,D16 x E4,DxE,DaviesMom,35,3,1,11.11111111,0,8,9
